"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"03/01/2025 12:00:00","EST","CAPITL",61757,1396.3305
"03/01/2025 12:00:00","EST","CENTRL",61754,1820.2792
"03/01/2025 12:00:00","EST","DUNWOD",61760,544.7812
"03/01/2025 12:00:00","EST","GENESE",61753,1051.2014
"03/01/2025 12:00:00","EST","HUD VL",61758,892.5872
"03/01/2025 12:00:00","EST","LONGIL",61762,1548.9284
"03/01/2025 12:00:00","EST","MHK VL",61756,853.504
"03/01/2025 12:00:00","EST","MILLWD",61759,240.4909
"03/01/2025 12:00:00","EST","N.Y.C.",61761,4863.4763
"03/01/2025 12:00:00","EST","NORTH",61755,669.96
"03/01/2025 12:00:00","EST","WEST",61752,1694.3533
"03/01/2025 13:00:00","EST","CAPITL",61757,1344.3241
"03/01/2025 13:00:00","EST","CENTRL",61754,1766.4743
"03/01/2025 13:00:00","EST","DUNWOD",61760,566.3422
"03/01/2025 13:00:00","EST","GENESE",61753,1064.7597
"03/01/2025 13:00:00","EST","HUD VL",61758,913.0219
"03/01/2025 13:00:00","EST","LONGIL",61762,1494.167
"03/01/2025 13:00:00","EST","MHK VL",61756,905.3722
"03/01/2025 13:00:00","EST","MILLWD",61759,258.423
"03/01/2025 13:00:00","EST","N.Y.C.",61761,4916.6698
"03/01/2025 13:00:00","EST","NORTH",61755,675.5629
"03/01/2025 13:00:00","EST","WEST",61752,1708.3866
"03/01/2025 14:00:00","EST","CAPITL",61757,1375.3099
"03/01/2025 14:00:00","EST","CENTRL",61754,1749.6278
"03/01/2025 14:00:00","EST","DUNWOD",61760,584.0228
"03/01/2025 14:00:00","EST","GENESE",61753,1104.8084
"03/01/2025 14:00:00","EST","HUD VL",61758,912.4823
"03/01/2025 14:00:00","EST","LONGIL",61762,1707.1465
"03/01/2025 14:00:00","EST","MHK VL",61756,937.8339
"03/01/2025 14:00:00","EST","MILLWD",61759,270.6151
"03/01/2025 14:00:00","EST","N.Y.C.",61761,4973.8557
"03/01/2025 14:00:00","EST","NORTH",61755,680.4526
"03/01/2025 14:00:00","EST","WEST",61752,1723.0084
"03/01/2025 15:00:00","EST","CAPITL",61757,1364.2449
"03/01/2025 15:00:00","EST","CENTRL",61754,1825.9993
"03/01/2025 15:00:00","EST","DUNWOD",61760,581.5851
"03/01/2025 15:00:00","EST","GENESE",61753,1155.108
"03/01/2025 15:00:00","EST","HUD VL",61758,943.5201
"03/01/2025 15:00:00","EST","LONGIL",61762,1878.0729
"03/01/2025 15:00:00","EST","MHK VL",61756,956.1466
"03/01/2025 15:00:00","EST","MILLWD",61759,265.609
"03/01/2025 15:00:00","EST","N.Y.C.",61761,5001.9666
"03/01/2025 15:00:00","EST","NORTH",61755,686.703
"03/01/2025 15:00:00","EST","WEST",61752,1769.224
"03/01/2025 16:00:00","EST","CAPITL",61757,1431.7096
"03/01/2025 16:00:00","EST","CENTRL",61754,1957.0472
"03/01/2025 16:00:00","EST","DUNWOD",61760,608.5545
"03/01/2025 16:00:00","EST","GENESE",61753,1199.2117
"03/01/2025 16:00:00","EST","HUD VL",61758,992.8406
"03/01/2025 16:00:00","EST","LONGIL",61762,1964.3047
"03/01/2025 16:00:00","EST","MHK VL",61756,1023.005
"03/01/2025 16:00:00","EST","MILLWD",61759,282.8213
"03/01/2025 16:00:00","EST","N.Y.C.",61761,5095.89
"03/01/2025 16:00:00","EST","NORTH",61755,702.0754
"03/01/2025 16:00:00","EST","WEST",61752,1834.4368
"03/01/2025 17:00:00","EST","CAPITL",61757,1575.1761
"03/01/2025 17:00:00","EST","CENTRL",61754,2073.0827
"03/01/2025 17:00:00","EST","DUNWOD",61760,649.9688
"03/01/2025 17:00:00","EST","GENESE",61753,1272.7089
"03/01/2025 17:00:00","EST","HUD VL",61758,1124.9166
"03/01/2025 17:00:00","EST","LONGIL",61762,2166.4465
"03/01/2025 17:00:00","EST","MHK VL",61756,1103.6482
"03/01/2025 17:00:00","EST","MILLWD",61759,321.6563
"03/01/2025 17:00:00","EST","N.Y.C.",61761,5258.6065
"03/01/2025 17:00:00","EST","NORTH",61755,705.9845
"03/01/2025 17:00:00","EST","WEST",61752,1907.25
"03/01/2025 18:00:00","EST","CAPITL",61757,1626.9487
"03/01/2025 18:00:00","EST","CENTRL",61754,2127.8879
"03/01/2025 18:00:00","EST","DUNWOD",61760,684.7369
"03/01/2025 18:00:00","EST","GENESE",61753,1316.4496
"03/01/2025 18:00:00","EST","HUD VL",61758,1217.7778
"03/01/2025 18:00:00","EST","LONGIL",61762,2317.1634
"03/01/2025 18:00:00","EST","MHK VL",61756,1140.9192
"03/01/2025 18:00:00","EST","MILLWD",61759,350.9115
"03/01/2025 18:00:00","EST","N.Y.C.",61761,5433.4783
"03/01/2025 18:00:00","EST","NORTH",61755,612.8755
"03/01/2025 18:00:00","EST","WEST",61752,1970.3773
"03/01/2025 19:00:00","EST","CAPITL",61757,1607.9416
"03/01/2025 19:00:00","EST","CENTRL",61754,2120.756
"03/01/2025 19:00:00","EST","DUNWOD",61760,692.7681
"03/01/2025 19:00:00","EST","GENESE",61753,1301.9743
"03/01/2025 19:00:00","EST","HUD VL",61758,1230.4135
"03/01/2025 19:00:00","EST","LONGIL",61762,2324.1744
"03/01/2025 19:00:00","EST","MHK VL",61756,1129.4431
"03/01/2025 19:00:00","EST","MILLWD",61759,350.6194
"03/01/2025 19:00:00","EST","N.Y.C.",61761,5462.862
"03/01/2025 19:00:00","EST","NORTH",61755,623.4945
"03/01/2025 19:00:00","EST","WEST",61752,1960.3063
